name,status,detail,size_orig,size_compiled,first_diff_offset
quest_b12_01_littleboy.bin,OK_ROUNDTRIP,,13233,13233,
quest_b12_01_littlegirl.bin,OK_ROUNDTRIP,,10582,10582,
quest_b12_01_sobor_cutscene.bin,BIN_MISMATCH,,3135,3147,0x417
quest_b12_01_tbirdmask.bin,OK_ROUNDTRIP,,9948,9948,
quest_b12_01_theater_cutscene.bin,OK_ROUNDTRIP,,1809,1809,
quest_b12_01_twhitemask.bin,OK_ROUNDTRIP,,8936,8936,
quest_b1_01.bin,OK_ROUNDTRIP,,2469,2469,
quest_b1_01_birdmask1.bin,OK_ROUNDTRIP,,11299,11299,
quest_b1_01_birdmask2.bin,OK_ROUNDTRIP,,8165,8165,
quest_b1_01_corpse.bin,OK_ROUNDTRIP,,1465,1465,
quest_b1_01_trigger.bin,OK_ROUNDTRIP,,4510,4510,
quest_b1_01_whitemask.bin,OK_ROUNDTRIP,,8806,8806,
quest_b1_02.bin,OK_ROUNDTRIP,,1945,1945,
quest_b1_02_agony.bin,BIN_MISMATCH,,4453,4453,0x874
quest_b1_02_cutscene.bin,OK_ROUNDTRIP,,2149,2149,
quest_b1_02_worker.bin,OK_ROUNDTRIP,,9678,9678,
quest_b1_03.bin,OK_ROUNDTRIP,,1754,1754,
quest_b1_03_doberman.bin,LIFT_ERROR,unstructured Jump at 0x278 -> 0x28c,26250,0,
quest_b1_04.bin,OK_ROUNDTRIP,,1861,1861,
quest_b1_04_grabitel.bin,LIFT_ERROR,JumpB target 0x29a not in current body,22634,0,
quest_b1_04_worker.bin,LIFT_ERROR,JumpB target 0x1bc not in current body,18895,0,
